M0,H,T,Loss
multiESN [A],1,34,5.542757720302354e-06
multiESN [A],1,35,6.754071016197691e-06
multiESN [A],1,36,3.147048370877014e-06
multiESN [A],1,37,4.0949189637133275e-08
multiESN [A],1,38,4.095682374672733e-06
multiESN [A],1,39,8.624309356442017e-08
multiESN [A],2,0,0.00015797344302666418
multiESN [A],2,1,0.0008617680075084028
multiESN [A],2,2,0.00036190130918037214
multiESN [A],2,3,8.072091276192522e-05
multiESN [A],2,4,1.3571258808501996e-05
multiESN [A],2,5,1.1075591650565288e-05
multiESN [A],2,6,5.354996102548688e-06
multiESN [A],2,7,5.402398933340559e-06
multiESN [A],2,8,1.568782884304403e-07
multiESN [A],2,9,4.533185806889179e-06
multiESN [A],2,10,9.45290652479154e-05
multiESN [A],2,11,2.998038934940617e-07
multiESN [A],2,12,5.923744154015002e-05
multiESN [A],2,13,1.4765067044356073e-05
multiESN [A],2,14,7.05086280486655e-07
multiESN [A],2,15,7.596801963745415e-06
multiESN [A],2,16,3.09090943664929e-05
multiESN [A],2,17,3.848298172694866e-05
multiESN [A],2,18,1.8019347820196463e-06
multiESN [A],2,19,3.4923647243508786e-05
multiESN [A],2,20,3.408689896235567e-07
multiESN [A],2,21,4.686891486392441e-08
multiESN [A],2,22,0.00011687259815248215
multiESN [A],2,23,2.9717585464662e-05
multiESN [A],2,24,1.827148489886836e-05
multiESN [A],2,25,8.021339228643346e-06
multiESN [A],2,26,6.2669205718276e-07
multiESN [A],2,27,2.3128189480592184e-06
multiESN [A],2,28,1.660727337510943e-05
multiESN [A],2,29,3.4052575192841956e-05
multiESN [A],2,30,2.0334590092044678e-06
multiESN [A],2,31,1.8326844512994133e-05
multiESN [A],2,32,1.7106738470957495e-06
multiESN [A],2,33,5.482885869842631e-06
multiESN [A],2,34,6.730282447616985e-06
multiESN [A],2,35,2.9524482064876166e-06
multiESN [A],2,36,2.0010122336060382e-08
multiESN [A],2,37,4.213136654005344e-06
multiESN [A],2,38,8.757368647798628e-08
multiESN [A],2,39,1.0128244317861421e-06
multiESN [A],3,0,0.0008625117079749336
multiESN [A],3,1,0.0003618083507197915
multiESN [A],3,2,8.08498947568662e-05
multiESN [A],3,3,1.3571769792615368e-05
multiESN [A],3,4,1.1057429716360452e-05
multiESN [A],3,5,5.333735429215836e-06
multiESN [A],3,6,5.436967149279118e-06
multiESN [A],3,7,1.617506480825124e-07
multiESN [A],3,8,4.480388624963487e-06
multiESN [A],3,9,9.432543494430483e-05
multiESN [A],3,10,2.9412949638958965e-07
multiESN [A],3,11,5.908904819579291e-05
multiESN [A],3,12,1.485635375868303e-05
multiESN [A],3,13,7.155270581446383e-07
multiESN [A],3,14,7.567885146244005e-06
multiESN [A],3,15,3.081853148736754e-05
multiESN [A],3,16,3.845995434126635e-05
multiESN [A],3,17,1.8011386676692945e-06
multiESN [A],3,18,3.4869796525380654e-05
multiESN [A],3,19,3.441528323557098e-07
multiESN [A],3,20,4.4856711882578427e-08
multiESN [A],3,21,0.00011676875720910017
multiESN [A],3,22,2.981833874090909e-05
multiESN [A],3,23,1.8342488297295157e-05
multiESN [A],3,24,7.95023597280715e-06
multiESN [A],3,25,6.404137459845673e-07
multiESN [A],3,26,2.2990624581586286e-06
multiESN [A],3,27,1.656841910330176e-05
multiESN [A],3,28,3.407493505346911e-05
multiESN [A],3,29,2.0252876425790586e-06
multiESN [A],3,30,1.8310192252505852e-05
multiESN [A],3,31,1.703004323745218e-06
multiESN [A],3,32,5.48319186299049e-06
multiESN [A],3,33,6.70612789943479e-06
multiESN [A],3,34,2.9453971587144162e-06
multiESN [A],3,35,1.74775549919504e-08
multiESN [A],3,36,4.2476565594351645e-06
multiESN [A],3,37,9.021041201867081e-08
multiESN [A],3,38,1.0120967833604611e-06
multiESN [A],3,39,6.199397645929063e-06
multiESN [A],4,0,0.0003618738479997961
multiESN [A],4,1,8.083940759323538e-05
multiESN [A],4,2,1.3577640636317553e-05
multiESN [A],4,3,1.1059602453695247e-05
multiESN [A],4,4,5.333784663618629e-06
multiESN [A],4,5,5.442719689364668e-06
multiESN [A],4,6,1.6320171535559193e-07
multiESN [A],4,7,4.474670349814289e-06
multiESN [A],4,8,9.428149235278352e-05
multiESN [A],4,9,2.919087010749297e-07
multiESN [A],4,10,5.906891993945001e-05
multiESN [A],4,11,1.487295499444112e-05
multiESN [A],4,12,7.192532237301683e-07
multiESN [A],4,13,7.560689460466543e-06
multiESN [A],4,14,3.0808082611519175e-05
multiESN [A],4,15,3.8439307079546425e-05
multiESN [A],4,16,1.8027057402259323e-06
multiESN [A],4,17,3.4866413797107935e-05
multiESN [A],4,18,3.4546752754411047e-07
multiESN [A],4,19,4.458635838122097e-08
multiESN [A],4,20,0.00011674596592551838
multiESN [A],4,21,2.983157115487625e-05
multiESN [A],4,22,1.835731107907244e-05
multiESN [A],4,23,7.940823334631665e-06
multiESN [A],4,24,6.438921597753033e-07
multiESN [A],4,25,2.294140455321068e-06
