M0,H,T,Loss
MIDAS,7,15,-0.0005980450016253311
MIDAS,7,16,-0.007242812841346602
MIDAS,7,17,-0.00498535024674704
MIDAS,7,18,-0.002880892534798711
MIDAS,7,19,0.0019198774013466343
MIDAS,7,20,0.0012477344130521774
MIDAS,7,21,-0.0015128352020647813
MIDAS,7,22,-0.001992787601704479
MIDAS,7,23,-0.004278732112140289
DFM [A],0,0,-0.003139158347689499
DFM [A],0,1,0.0029792722465595
DFM [A],0,2,0.0044396757852466
DFM [A],0,3,0.0066323458653789
DFM [A],0,4,-0.0007683465930424013
DFM [A],0,5,0.0072110955573856
DFM [A],0,6,-0.0011807378665947997
DFM [A],0,7,0.0016358150802242002
DFM [A],0,8,0.0118999372348908
DFM [A],0,9,-0.004441127573635099
DFM [A],0,10,-0.0020118531557048007
DFM [A],0,11,0.0044254578360482
DFM [A],0,12,3.36008072334016e-05
DFM [A],0,13,0.0011701433222532
DFM [A],0,14,0.0046066661967969005
DFM [A],0,15,0.0047206517840808
DFM [A],0,16,0.0016739683179840007
DFM [A],0,17,0.004458653734659
DFM [A],0,18,0.0005578306663578001
DFM [A],0,19,0.0021084283612738007
DFM [A],0,20,0.0030937481676936007
DFM [A],0,21,0.0019269055752798997
DFM [A],0,22,0.0006446023109233003
DFM [A],0,23,-0.0026493788996267004
DFM [A],1,0,0.0009581557903932999
DFM [A],1,1,0.0052524770570689
DFM [A],1,2,0.0052679553554873
DFM [A],1,3,-0.000636841173357201
DFM [A],1,4,0.0065882797893426995
DFM [A],1,5,0.0008044749672634008
DFM [A],1,6,1.5933828928001853e-06
DFM [A],1,7,0.0125066496692416
DFM [A],1,8,-0.0040982880000627
DFM [A],1,9,-0.0031805938647896
DFM [A],1,10,0.0048312983628857
DFM [A],1,11,0.0006009172535979008
DFM [A],1,12,0.002149815785048601
DFM [A],1,13,0.003783080648272
DFM [A],1,14,0.0065591870787731
DFM [A],1,15,0.0005685995141352
DFM [A],1,16,0.0044900586650920005
DFM [A],1,17,0.0015209035385166
DFM [A],1,18,0.0014387160612957008
DFM [A],1,19,0.0020892032102609003
DFM [A],1,20,0.0020241153814278
DFM [A],1,21,0.00010849597763499998
DFM [A],1,22,-0.002010477591856401
DFM [A],1,23,-0.0010434123182991003
DFM [A],2,0,0.0041010364009987
DFM [A],2,1,0.0055568257499875
DFM [A],2,2,-0.0021479295856565005
DFM [A],2,3,0.006581403136758699
DFM [A],2,4,1.1638626425199486e-05
DFM [A],2,5,0.0014423970129448004
DFM [A],2,6,0.010878600942459401
DFM [A],2,7,-0.0038017830571420996
DFM [A],2,8,-0.002958351957301701
DFM [A],2,9,0.0037824878787654
DFM [A],2,10,0.0007349318878146008
DFM [A],2,11,0.002558001812967901
DFM [A],2,12,0.004472656943318399
DFM [A],2,13,0.0055213106485248
DFM [A],2,14,0.002111243990662
DFM [A],2,15,0.0036932704025894
DFM [A],2,16,0.0014415312414899004
DFM [A],2,17,0.0024608651477641
DFM [A],2,18,0.0015891303172455
DFM [A],2,19,0.0009437635168404995
DFM [A],2,20,0.00010711097573160022
DFM [A],2,21,-0.0024117645689627
DFM [A],2,22,-0.0007391362072984003
DFM [A],2,23,-0.0020067159504149005
DFM [A],3,0,0.0049384058113983
DFM [A],3,1,-0.002186748643111301
DFM [A],3,2,0.0051573129213239
DFM [A],3,3,-8.819666560249979e-05
DFM [A],3,4,0.0006205946389248995
DFM [A],3,5,0.0117387616104199
DFM [A],3,6,-0.0052189668934244995
DFM [A],3,7,-0.0028562888284087012
DFM [A],3,8,0.0039249258825422
DFM [A],3,9,-9.662929628589945e-05
DFM [A],3,10,0.0024964497904612004
DFM [A],3,11,0.0046892232257142
DFM [A],3,12,0.0059921119479976
DFM [A],3,13,0.0010300035702333005
DFM [A],3,14,0.0048060079005985
DFM [A],3,15,0.0009363179367843002
DFM [A],3,16,0.0023659006656221006
DFM [A],3,17,0.0025420808316162008
DFM [A],3,18,0.0006497134491160999
DFM [A],3,19,-0.0008838657389354998
DFM [A],3,20,-0.0024588845352188004
DFM [A],3,21,-0.0009853079823802999
DFM [A],3,22,-0.00188483823482
DFM [A],3,23,0.0012262063482215
DFM [A],4,0,-0.002505814457854901
DFM [A],4,1,0.0049440959270553
DFM [A],4,2,-0.0013276087277902995
DFM [A],4,3,0.0004664353430052998
DFM [A],4,4,0.0109712275052452
DFM [A],4,5,-0.0048927357072751
DFM [A],4,6,-0.0039805410519867
DFM [A],4,7,0.0039074690768709005
